[08:14:55 AM || 19/06/2026] [ERROR] [UNCAUGHT_EXCEPTION] [eval]:5
console.log(JSON.stringify(global.__captured.HIDDEN_OWNER_IDS, null, 2));
                                             ^

TypeError: Cannot read properties of undefined (reading 'HIDDEN_OWNER_IDS')
    at [eval]:5:46
    at runScriptInThisContext (node:internal/vm:209:10)
    at node:internal/process/execution:446:12
    at [eval]-wrapper:6:24
    at runScriptInContext (node:internal/process/execution:444:60)
    at evalFunction (node:internal/process/execution:279:30)
    at evalTypeScript (node:internal/process/execution:291:3)
    at node:internal/main/eval_string:74:3
[03:59:09 PM || 19/06/2026] [INFO] [BOT] Login method: APPSTATE (appstate.json)
[03:59:09 PM || 19/06/2026] [ERROR] [APPSTATE] Cannot read appstate.json: C:\Users\kbros\Desktop\RDX-MEGA-BOT-main\bot_connect\appstate.json: Unexpected end of JSON input
[03:59:09 PM || 19/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[03:59:09 PM || 19/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[03:59:48 PM || 19/06/2026] [INFO] [BOT] Login method: APPSTATE (appstate.json)
[03:59:48 PM || 19/06/2026] [ERROR] [APPSTATE] Cannot read appstate.json: C:\Users\kbros\Desktop\RDX-MEGA-BOT-main\bot_connect\appstate.json: Unexpected end of JSON input
[03:59:48 PM || 19/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[03:59:48 PM || 19/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[04:00:50 PM || 19/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[04:00:50 PM || 19/06/2026] [ERROR] [COOKIES] cookies.txt is empty or invalid! Please add your Facebook cookies.
[04:04:22 PM || 19/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[04:04:22 PM || 19/06/2026] [SUCCESS] [COOKIES] Loaded 13 cookies from cookies.txt
[04:04:22 PM || 19/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[04:04:22 PM || 19/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[04:04:22 PM || 19/06/2026] [INFO] [BOT] Prefix: .
[04:04:22 PM || 19/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[04:04:22 PM || 19/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[04:04:28 PM || 19/06/2026] [SUCCESS] [LOGIN] Logged in successfully!
[04:04:28 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: add
[04:04:28 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: addfriend
[04:04:28 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: aisetup
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: allbox
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: antiout
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: autoreact
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: autoseen
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: autosent
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: avatar
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: balance
[04:04:29 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: ban
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: bank
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: barfi
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: bestie
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: bestie2
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: bestie3
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: bestie4
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: bestie5
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: biryani
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: botnoti
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: broadcast
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: brother
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: brother2
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: brother3
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: chatai
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: chicken
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: chocolate
[04:04:30 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: clearinbox
