[05:28:04 PM || 20/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[05:28:04 PM || 20/06/2026] [SUCCESS] [COOKIES] Loaded 12 cookies from cookies.txt
[05:28:04 PM || 20/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[05:28:04 PM || 20/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[05:28:04 PM || 20/06/2026] [INFO] [BOT] Prefix: .
[05:28:04 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[05:28:04 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[05:28:37 PM || 20/06/2026] [ERROR] [UNHANDLED_REJECTION] Error: write ECONNRESET
    at WriteWrap.onWriteComplete [as oncomplete] (node:internal/stream_base_commons:87:19)
    at handleWriteReq (node:internal/stream_base_commons:59:21)
    at writeGeneric (node:internal/stream_base_commons:148:15)
    at Socket._writeGeneric (node:net:1025:11)
    at Socket._write (node:net:1037:8)
    at doWrite (node:internal/streams/writable:596:12)
    at clearBuffer (node:internal/streams/writable:781:7)
    at Writable.uncork (node:internal/streams/writable:529:7)
    at ClientRequest._flushOutput (node:_http_outgoing:1170:10)
    at ClientRequest._flush (node:_http_outgoing:1142:22)
[05:29:44 PM || 20/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[05:29:44 PM || 20/06/2026] [SUCCESS] [COOKIES] Loaded 12 cookies from cookies.txt
[05:29:44 PM || 20/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[05:29:44 PM || 20/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[05:29:44 PM || 20/06/2026] [INFO] [BOT] Prefix: .
[05:29:44 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[05:29:44 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[05:30:14 PM || 20/06/2026] [ERROR] [LOGIN] Failed: read ECONNRESET
[05:32:24 PM || 20/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[05:32:24 PM || 20/06/2026] [SUCCESS] [COOKIES] Loaded 13 cookies from cookies.txt
[05:32:24 PM || 20/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[05:32:24 PM || 20/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[05:32:24 PM || 20/06/2026] [INFO] [BOT] Prefix: .
[05:32:24 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[05:32:24 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[05:32:30 PM || 20/06/2026] [SUCCESS] [LOGIN] Logged in successfully!
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: add
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: addfriend
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: aisetup
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: allbox
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: antiout
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: autoreact
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: autoseen
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: autosent
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: avatar
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: balance
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: ban
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bank
[05:32:30 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: barfi
